<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;20210609;000000;5400.0000000;5403.0000000;5345.0000000;5384.5000000;194043
MGNT;D;20210610;000000;5385.0000000;5398.5000000;5315.0000000;5379.5000000;295036
MGNT;D;20210611;000000;5384.5000000;5459.5000000;5345.0000000;5405.0000000;430067
MGNT;D;20210614;000000;5394.0000000;5460.0000000;5392.5000000;5449.0000000;235351
MGNT;D;20210615;000000;5455.0000000;5499.0000000;5422.5000000;5457.5000000;354744
MGNT;D;20210616;000000;5460.0000000;5505.0000000;5451.0000000;5486.0000000;494842
MGNT;D;20210617;000000;5466.5000000;5568.5000000;5462.0000000;5559.0000000;506767
