<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AFLT;D;20210609;000000;71.4200000;73.9000000;71.3200000;73.7200000;42775070
AFLT;D;20210610;000000;73.9200000;74.6000000;72.5000000;73.3400000;28945680
AFLT;D;20210611;000000;73.6400000;74.1000000;72.9200000;73.5800000;16539650
AFLT;D;20210614;000000;73.4200000;73.5800000;72.1000000;72.2800000;16749000
AFLT;D;20210615;000000;72.4200000;72.4600000;70.5000000;71.0600000;20374560
AFLT;D;20210616;000000;70.6600000;71.4400000;69.7000000;70.1600000;23953170
