<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;20210104;000000;274.6700000;276.6000000;270.6100000;272.0000000;48799460
SBER;D;20210105;000000;272.6700000;275.7000000;270.2800000;275.2000000;45554100
SBER;D;20210106;000000;275.9000000;275.9200000;271.6200000;272.9300000;40905340
SBER;D;20210108;000000;275.1100000;283.9900000;275.1100000;283.6400000;88672940
SBER;D;20210111;000000;282.7500000;292.9500000;279.4800000;289.4900000;112210400
SBER;D;20210112;000000;290.5000000;296.0700000;286.7000000;289.9900000;78890100
SBER;D;20210113;000000;291.0100000;292.4600000;283.1000000;283.7800000;67489780
SBER;D;20210114;000000;284.0000000;286.9000000;279.0600000;284.7900000;74616910
SBER;D;20210115;000000;282.5500000;286.1600000;276.0000000;276.9000000;73687110
SBER;D;20210118;000000;275.7300000;281.3000000;272.9500000;279.7900000;73676310
SBER;D;20210119;000000;280.9800000;282.8000000;276.4200000;278.1900000;55682850
SBER;D;20210120;000000;278.6300000;282.4900000;276.7700000;279.8000000;47858610
SBER;D;20210121;000000;280.7800000;281.5400000;272.8400000;274.4000000;83765230
SBER;D;20210122;000000;273.0000000;273.3000000;266.7800000;268.2500000;86899970
SBER;D;20210125;000000;270.5400000;273.6300000;261.6500000;265.3000000;114068450
SBER;D;20210126;000000;262.9000000;269.5700000;262.6100000;269.3400000;75094890
SBER;D;20210127;000000;270.0700000;273.8000000;265.0200000;265.5000000;100046360
SBER;D;20210128;000000;263.5000000;267.1700000;261.1700000;265.9600000;81088040
SBER;D;20210129;000000;263.9200000;264.7500000;257.3600000;258.1100000;120025230
SBER;D;20210201;000000;260.0000000;264.0600000;258.7300000;263.8000000;63050800
SBER;D;20210202;000000;265.0000000;268.3900000;263.0500000;263.1500000;79360220
SBER;D;20210203;000000;264.2500000;268.1400000;261.0500000;263.5300000;77585700
SBER;D;20210204;000000;263.2100000;270.6000000;262.3400000;270.1100000;78873410
SBER;D;20210205;000000;271.9900000;272.5700000;268.8700000;271.7000000;71697410
SBER;D;20210208;000000;273.0100000;275.5800000;272.3200000;275.2000000;51720410
SBER;D;20210209;000000;275.9900000;276.2900000;267.1900000;268.9800000;91773840
SBER;D;20210210;000000;269.2800000;270.9900000;265.2000000;265.9000000;63033470
SBER;D;20210211;000000;265.4900000;266.9000000;263.7500000;264.7000000;38615960
SBER;D;20210212;000000;263.9900000;266.4400000;258.5500000;266.0000000;81585980
SBER;D;20210215;000000;268.4900000;271.8700000;267.0700000;271.8100000;56766380
SBER;D;20210216;000000;272.3100000;272.8000000;268.2700000;270.9000000;62992920
SBER;D;20210217;000000;270.9200000;275.0700000;267.5600000;270.9000000;79087080
SBER;D;20210218;000000;270.3500000;272.4600000;266.2100000;266.9900000;58686040
SBER;D;20210219;000000;266.1200000;272.8100000;264.1900000;271.3400000;59193580
SBER;D;20210220;000000;271.0000000;271.0000000;269.0200000;270.5100000;8738250
SBER;D;20210222;000000;270.3700000;274.4600000;268.1200000;273.7100000;48095910
SBER;D;20210224;000000;272.1200000;272.7500000;269.4200000;271.9000000;64101830
SBER;D;20210225;000000;273.6000000;276.4800000;270.6500000;270.7100000;79566390
SBER;D;20210226;000000;268.0000000;272.4900000;266.4300000;270.1700000;74446940
SBER;D;20210301;000000;273.0000000;274.7300000;271.1300000;273.5800000;35741070
SBER;D;20210302;000000;271.8900000;280.0000000;271.6000000;279.1000000;71481180
SBER;D;20210303;000000;281.7000000;283.8300000;277.6300000;278.0100000;64113880
SBER;D;20210304;000000;278.5300000;281.9600000;273.6300000;274.7500000;91841080
SBER;D;20210305;000000;276.1200000;278.9800000;272.7600000;277.5000000;83301590
SBER;D;20210309;000000;278.7100000;286.3800000;277.5600000;285.7900000;72592390
SBER;D;20210310;000000;285.2300000;288.0000000;281.0000000;282.2400000;55067560
