<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;20210609;000000;315.0100000;315.9000000;312.9000000;314.7800000;25115980
SBER;D;20210610;000000;314.8000000;316.5800000;313.7600000;314.6200000;29201370
SBER;D;20210611;000000;314.8800000;315.0800000;312.5000000;313.0000000;21902100
SBER;D;20210614;000000;313.4800000;314.8700000;310.4000000;314.1200000;25494830
SBER;D;20210615;000000;314.1300000;315.6000000;312.4000000;312.5100000;29704890
SBER;D;20210616;000000;312.5000000;314.5400000;311.0300000;311.6100000;38224960
SBER;D;20210617;000000;311.0000000;315.4200000;310.4600000;313.9000000;44164540
